"시점","항목",수출경기,수입경기
"2013.06","확산지수",44.4,45.2
"2013.07","확산지수",43.7,42.5
"2013.08","확산지수",46.7,48.2
"2013.09","확산지수",55.9,58.7
"2013.10","확산지수",69.6,60.5
"2013.11","확산지수",52.2,56.9
"2013.12","확산지수",62.6,62.9
"2014.01","확산지수",45.6,45.5
"2014.02","확산지수",48.5,53.9
"2014.03","확산지수",53.7,54.8
"2014.04","확산지수",64.1,68.0
"2014.05","확산지수",50.0,53.6
"2014.06","확산지수",47.4,50.3
"2014.07","확산지수",35.6,47.9
"2014.08","확산지수",45.6,47.6
"2014.09","확산지수",48.5,59.9
"2014.10","확산지수",56.3,40.1
"2014.11","확산지수",30.0,51.8
"2014.12","확산지수",51.1,40.1
"2015.01","확산지수",27.8,35.3
"2015.02","확산지수",28.1,37.1
"2015.03","확산지수",42.2,38.9
"2015.04","확산지수",46.3,50.9
"2015.05","확산지수",47.4,39.8
"2015.06","확산지수",39.6,47.0
"2015.07","확산지수",38.9,44.9
"2015.08","확산지수",36.3,55.4
"2015.09","확산지수",33.7,33.2
"2015.10","확산지수",33.0,40.7
"2015.11","확산지수",51.1,40.4
"2015.12","확산지수",52.6,51.5
"2016.01","확산지수",27.4,31.1
"2016.02","확산지수",48.5,43.1
"2016.03","확산지수",46.7,53.6
"2016.04","확산지수",60.4,55.4
"2016.05","확산지수",50.0,60.5
"2016.06","확산지수",49.3,53.6
"2016.07","확산지수",60.7,58.4
"2016.08","확산지수",56.7,64.4
"2016.09","확산지수",54.8,52.1
"2016.10","확산지수",40.0,51.8
"2016.11","확산지수",68.1,53.0
"2016.12","확산지수",49.3,65.9
"2017.01","확산지수",54.8,64.1
"2017.02","확산지수",46.7,45.2
"2017.03","확산지수",61.5,74.3
"2017.04","확산지수",54.4,54.2
"2017.05","확산지수",43.3,68.6
"2017.06","확산지수",49.6,44.6
"2017.07","확산지수",40.0,52.7
"2017.08","확산지수",66.7,53.0
"2017.09","확산지수",74.8,56.6
"2017.10","확산지수",40.7,48.8
"2017.11","확산지수",61.5,59.6
"2017.12","확산지수",44.4,56.3
"2018.01","확산지수",83.0,77.8
"2018.02","확산지수",45.6,54.8
"2018.03","확산지수",46.3,49.1
"2018.04","확산지수",44.4,46.4
"2018.05","확산지수",68.9,67.7
"2018.06","확산지수",56.7,60.8
"2018.07","확산지수",54.1,48.5
"2018.08","확산지수",41.5,37.1
"2018.09","확산지수",27.4,28.7
"2018.10","확산지수",61.1,61.7
"2018.11","확산지수",44.4,59.6
"2018.12","확산지수",44.1,53.9
"2019.01","확산지수",48.9,44.6
"2019.02","확산지수",28.5,18.9
"2019.03","확산지수",50.7,52.4
"2019.04","확산지수",31.1,40.7
"2019.05","확산지수",58.5,70.7
"2019.06","확산지수",30.7,38.3
"2019.07","확산지수",47.8,44.9
"2019.08","확산지수",38.9,48.8
"2019.09","확산지수",52.6,51.5
"2019.10","확산지수",44.1,29.9
"2019.11","확산지수",41.1,43.4
"2019.12","확산지수",59.6,62.0
"2020.01","확산지수",34.1,61.1
"2020.02","확산지수",58.5,26.0
"2020.03","확산지수",44.4,42.8
"2020.04","확산지수",25.2,35.9
"2020.05","확산지수",12.6,59.9
"2020.06","확산지수",25.9,38.3
"2020.07","확산지수",75.6,53.0
"2020.08","확산지수",86.7,59.3
"2020.09","확산지수",82.2,59.9
"2020.10","확산지수",65.9,56.6
"2020.11","확산지수",73.0,75.7
"2020.12","확산지수",60.4,74.3
"2021.01","확산지수",54.8,62.9
"2021.02","확산지수",67.0,70.1
"2021.03","확산지수",58.1,72.8
"2021.04","확산지수",66.3,80.2
"2021.05","확산지수",68.9,65.0
"2021.06","확산지수",60.0,59.6
"2021.07","확산지수",62.6,63.2
"2021.08","확산지수",44.1,57.2
"2021.09","확산지수",55.2,53.0
"2021.10","확산지수",50.0,46.4
"2021.11","확산지수",68.9,63.5
"2021.12","확산지수",60.7,68.0
"2022.01","확산지수",71.9,63.8
"2022.02","확산지수",49.6,54.5
"2022.03","확산지수",59.6,53.9
"2022.04","확산지수",37.0,44.9
"2022.05","확산지수",49.3,60.8
"2022.06","확산지수",27.4,53.3
"2022.07","확산지수",48.1,65.0
"2022.08","확산지수",34.8,50.9
"2022.09","확산지수",44.8,34.1
"2022.10","확산지수",25.9,31.7
"2022.11","확산지수",23.0,23.4
"2022.12","확산지수",34.8,43.4
"2023.01","확산지수",40.0,49.1
"2023.02","확산지수",70.4,45.8
"2023.03","확산지수",48.5,59.3
"2023.04","확산지수",60.0,33.8
"2023.05","확산지수",38.1,53.3
"2023.06","확산지수",54.4,38.3
"2023.07","확산지수",42.6,39.2
"2023.08","확산지수",53.0,43.7
"2023.09","확산지수",44.1,41.0
"2023.10","확산지수",52.6,59.9
"2023.11","확산지수",57.8,47.9
